Unique_Id,Manufacturing_Month,Manufacturing_Year,Kilometers_Driven
160,4,2003,11999
161,5,2003,11754
162,5,2003,11000
163,4,2003,10000
164,12,2003,7650
165,7,2003,6500
166,10,2003,6155
167,7,2003,6000
168,7,2003,5459
169,7,2003,5278
170,9,2003,5000
171,12,2003,1
172,12,2003,1
173,1,2004,11000
174,1,2004,10077
175,1,2004,10000
176,1,2004,9788
177,1,2004,8574
178,1,2004,7000
179,2,2004,6250
180,1,2004,5000
181,3,2004,3000
182,2,2004,2000
183,2,2004,450
184,7,2004,225
185,7,2004,15
186,8,2004,1
187,8,2004,1
188,2,2001,243000
189,7,2001,180638
190,5,2001,179860
191,2,2001,178858
192,5,2001,161000
193,1,2001,158320
194,1,2001,131273
195,5,2001,130062
196,4,2001,123425
197,8,2001,118217
198,1,2001,110000
199,6,2001,108847
200,3,2001,105699
201,6,2001,98823
202,1,2001,96829
203,5,2001,96518
204,3,2001,92204
205,10,2001,91456
206,2,2001,89968
207,1,2001,89757
208,5,2001,85389
209,2,2001,85017
210,4,2001,84312
211,8,2001,82743
212,4,2001,81106
213,5,2001,80425
214,11,2001,78677
215,5,2001,78425
216,12,2001,78108
217,12,2001,77321
218,12,2001,75699
219,4,2001,75697
220,1,2001,74846
221,7,2001,74319
222,2,2001,74285
223,1,2001,74172
224,5,2001,73042
225,1,2001,71793
226,10,2001,71200
227,7,2001,67805
228,10,2001,65988
229,11,2001,65345
230,3,2001,64564
231,9,2001,63459
232,1,2001,63451
233,12,2001,62000
234,3,2001,61300
235,4,2001,61200
236,4,2001,61000
237,7,2001,60829
238,1,2001,60500
239,10,2001,59500
240,1,2001,59000
241,5,2001,58954
242,7,2001,58798
243,7,2001,58363
244,2,2001,58277
245,12,2001,57711
246,12,2001,57269
247,6,2001,56001
248,3,2001,55968
249,6,2001,55678
250,2,2001,55539
251,3,2001,55400
252,12,2001,55350
253,2,2001,54600
254,2,2001,53773
255,3,2001,53719
256,6,2001,53644
257,3,2001,53350
258,7,2001,53000
259,1,2001,52084
260,1,2001,52000
261,12,2001,51945
262,4,2001,51732
263,6,2001,50873
264,4,2001,50856
265,5,2001,50640
266,6,2001,50000
267,7,2001,49500
268,1,2001,49332
269,11,2001,49291
270,5,2001,48952
271,6,2001,48945
272,12,2001,48928
273,7,2001,48197
274,10,2001,48052
275,11,2001,48011
276,2,2001,48000
277,4,2001,47350
278,6,2001,46821
279,6,2001,46694
280,2,2001,46515
281,7,2001,46327
282,10,2001,46304
283,5,2001,45886
284,6,2001,45713
285,5,2001,45600
286,4,2001,45287
287,6,2001,45081
288,5,2001,44830
289,8,2001,44757
290,1,2001,44218
291,2,2001,43632
292,9,2001,43427
293,6,2001,43254
294,10,2001,43000
295,12,2001,42823
296,3,2001,42560
297,7,2001,41754
298,1,2001,41499
299,5,2001,41339
300,10,2001,41000
301,6,2001,40000
302,8,2001,39757
303,4,2001,39659
304,2,2001,39650
305,6,2001,39524
306,1,2001,39516
307,4,2001,39439
308,1,2001,39000
309,3,2001,38932
310,8,2001,38812
311,3,2001,38665
312,5,2001,38653
313,1,2001,38461
314,3,2001,38078
315,6,2001,37782
316,2,2001,37576
317,4,2001,37533
318,1,2001,37389
319,7,2001,37320
320,3,2001,37000
321,1,2001,37000
322,5,2001,36566
323,9,2001,36269
324,8,2001,36074
325,1,2001,36066
326,6,2001,34599
327,4,2001,34000
328,3,2001,33623
329,12,2001,33591
330,10,2001,33258
331,2,2001,33113
332,4,2001,33000
333,10,2001,32941
334,7,2001,32781
335,5,2001,32532
336,11,2001,32431
337,10,2001,32000
339,12,2001,31000
340,4,2001,30989
341,2,2001,30742
342,3,2001,30190
343,4,2001,29716
344,1,2001,29716
345,3,2001,29640
346,4,2001,29056
347,12,2001,28715
348,4,2001,28571
349,5,2001,28362
350,7,2001,28150
351,2,2001,27301
352,12,2001,27240
353,6,2001,27170
354,3,2001,27141
355,7,2001,26262
356,7,2001,26000
357,2,2001,25228
358,6,2001,25062
359,6,2001,24723
360,12,2001,24650
361,2,2001,24553
362,4,2001,24475
363,6,2001,24444
364,10,2001,24011
365,4,2001,24000
366,5,2001,23616
367,7,2001,22865
368,4,2001,22780
369,10,2001,21904
370,4,2001,21651
371,8,2001,21500
372,1,2001,21027
373,6,2001,18500
374,10,2001,18000
375,5,2001,17051
376,12,2001,16512
377,5,2001,16325
378,7,2001,16000
379,6,2001,12000
380,2,2001,10000
381,4,2000,216000
382,6,2000,198167
383,4,2000,176000
384,3,2000,174139
385,12,2000,174000
386,2,2000,150000
387,3,2000,149329
388,6,2000,146736
389,4,2000,143513
390,9,2000,142130
391,9,2000,140700
392,3,2000,138394
393,2,2000,137000
394,5,2000,135258
395,8,2000,131364
396,1,2000,129155
397,7,2000,126110
398,9,2000,119742
399,4,2000,117913
400,10,2000,117430
401,2,2000,117175
402,3,2000,115558
403,4,2000,115113
404,3,2000,115046
405,1,2000,113997
406,8,2000,107859
407,5,2000,104805
408,3,2000,103454
409,6,2000,103018
410,10,2000,102352
411,7,2000,102030
412,3,2000,101352
413,7,2000,99865
414,5,2000,99323
415,9,2000,98100
416,6,2000,98040
417,8,2000,97600
418,2,2000,97234
419,6,2000,96135
420,3,2000,96100
421,2,2000,94401
422,2,2000,94122
423,8,2000,91340
424,4,2000,90200
425,4,2000,90097
426,9,2000,89049
427,5,2000,89000
428,12,2000,87274
429,8,2000,86221
430,3,2000,84598
431,7,2000,83567
432,7,2000,83106
433,7,2000,82805
434,7,2000,82735
435,3,2000,81905
436,8,2000,80320
437,8,2000,80090
438,4,2000,79800
439,10,2000,78785
440,9,2000,78600
441,2,2000,77780
442,8,2000,77648
443,3,2000,77270
444,7,2000,76167
445,11,2000,75249
446,3,2000,75231
447,9,2000,75045
448,7,2000,74849
449,2,2000,74715
450,8,2000,74656
451,1,2000,74500
452,8,2000,74494
453,7,2000,73634
454,10,2000,73403
455,8,2000,73175
456,5,2000,73000
457,7,2000,72242
458,4,2000,72000
459,3,2000,71725
460,3,2000,71276
461,7,2000,70440
462,4,2000,70239
463,2,2000,69813
464,8,2000,69659
465,11,2000,69574
466,10,2000,69000
467,8,2000,68565
468,2,2000,68520
469,11,2000,68414
470,1,2000,66777
471,5,2000,66527
472,3,2000,66063
473,7,2000,65471
474,1,2000,65400
475,5,2000,65170
476,1,2000,65000
477,9,2000,64193
478,3,2000,64000
479,3,2000,63792
480,4,2000,63635
481,3,2000,63135
482,3,2000,63123
483,9,2000,63000
484,2,2000,63000
485,3,2000,62987
486,1,2000,62751
487,3,2000,62519
488,7,2000,62280
489,7,2000,61672
490,3,2000,61000
491,1,2000,61000
492,4,2000,60558
493,10,2000,60348
494,3,2000,60239
495,6,2000,59000
496,6,2000,58761
497,3,2000,58745
498,5,2000,58596
499,3,2000,58530
500,2,2000,58377
501,1,2000,58142
502,4,2000,57948
503,6,2000,57645
504,10,2000,57500
505,4,2000,57475
506,2,2000,56743
507,9,2000,56675
508,3,2000,55877
509,4,2000,55500
510,2,2000,54900
511,7,2000,54465
512,11,2000,53700
513,5,2000,53561
514,6,2000,53408
515,6,2000,53268
516,8,2000,53116
517,1,2000,52448
518,2,2000,52149
519,2,2000,52141
520,1,2000,52000
521,9,2000,50967
522,7,2000,50400
523,3,2000,50000
524,6,2000,50000
525,4,2000,49969
526,8,2000,49568
527,6,2000,49473
528,5,2000,49432
529,9,2000,49417
530,3,2000,49366
531,1,2000,48731
532,3,2000,48370
533,9,2000,48071
534,3,2000,47852
535,3,2000,47768
536,5,2000,47689
537,4,2000,47451
538,7,2000,47219
539,1,2000,47211
540,3,2000,46856
541,1,2000,46500
542,5,2000,46449
543,10,2000,46391
544,3,2000,46230
545,5,2000,46029
546,7,2000,46000
547,7,2000,45900
548,10,2000,45850
549,1,2000,45336
550,2,2000,44537
551,1,2000,43700
552,9,2000,43120
554,8,2000,41710
555,5,2000,41700
556,8,2000,41636
557,7,2000,41273
558,8,2000,40836
559,7,2000,40400
560,10,2000,40361
561,3,2000,40325
562,10,2000,40000
563,7,2000,39706
564,3,2000,39291
565,3,2000,39000
566,10,2000,38900
567,6,2000,38403
568,1,2000,37461
569,3,2000,37000
570,2,2000,36406
571,9,2000,36005
572,5,2000,36000
573,8,2000,36000
574,12,2000,36000
575,5,2000,35823
576,1,2000,35230
577,9,2000,35142
578,8,2000,34890
579,6,2000,34882
580,11,2000,34000
581,1,2000,33998
582,2,2000,33230
583,11,2000,33021
584,8,2000,31999
585,5,2000,31579
586,1,2000,31000
587,11,2000,30806
588,2,2000,30461
589,7,2000,29686
590,2,2000,29650
591,5,2000,29500
592,9,2000,28656
593,2,2000,27500
594,9,2000,26938
595,4,2000,26624
596,10,2000,26221
597,7,2000,22648
598,7,2000,22500
599,1,2000,19313
600,7,2000,17619
601,6,2000,17069
602,9,2000,15000
603,7,2000,10210
604,10,2000,5309
605,7,2000,1
606,5,2000,31000
607,11,1999,205000
608,1,1999,204250
609,1,1999,194545
610,10,1999,190900
611,7,1999,183500
612,4,1999,176184
613,2,1999,174833
614,1,1999,155720
615,2,1999,155500
616,10,1999,154783
617,5,1999,154462
618,5,1999,150585
619,2,1999,149000
620,7,1999,147636
621,10,1999,144521
622,5,1999,144000
623,4,1999,140168
624,1,1999,140000
625,9,1999,139800
626,10,1999,137050
627,8,1999,136956
628,2,1999,135337
629,5,1999,133769
630,11,1999,133405
631,4,1999,132807
632,5,1999,132393
633,9,1999,130270
634,10,1999,130000
635,2,1999,127000
636,2,1999,126800
637,3,1999,126452
638,7,1999,125175
639,1,1999,125000
640,8,1999,123000
641,10,1999,121626
642,5,1999,120400
643,3,1999,120000
644,1,1999,119541
645,1,1999,119500
646,1,1999,119289
647,12,1999,118833
648,5,1999,118000
649,1,1999,117955
650,4,1999,117609
651,1,1999,117000
652,5,1999,116000
653,11,1999,115715
654,9,1999,115191
655,1,1999,115071
656,6,1999,115000
657,5,1999,114846
658,4,1999,114383
659,10,1999,113700
660,2,1999,113118
661,10,1999,112827
662,1,1999,112116
663,3,1999,112000
664,7,1999,112000
665,4,1999,111769
666,8,1999,110853
667,1,1999,110287
668,7,1999,109547
669,6,1999,109230
670,1,1999,109150
671,2,1999,108793
672,5,1999,106784
673,11,1999,105942
674,10,1999,105000
675,7,1999,105000
676,1,1999,104299
677,2,1999,104000
678,1,1999,104000
679,11,1999,103458
680,6,1999,103400
681,6,1999,102807
682,1,1999,102494
683,12,1999,102300
684,8,1999,102106
685,1,1999,101889
686,12,1999,101791
687,6,1999,101469
688,1,1999,101001
689,8,1999,100748
690,4,1999,100550
691,2,1999,99781
692,10,1999,98658
693,4,1999,98500
694,5,1999,98291
695,8,1999,97648
696,8,1999,97425
697,4,1999,97173
698,3,1999,97046
699,2,1999,96000
700,9,1999,96000
701,2,1999,95750
702,8,1999,95147
703,1,1999,95000
704,4,1999,95000
705,3,1999,94606
706,6,1999,94504
707,4,1999,93428
708,4,1999,93408
709,1,1999,93296
710,7,1999,93098
711,2,1999,92922
712,8,1999,92498
713,4,1999,92226
714,1,1999,91505
715,5,1999,91333
716,4,1999,91246
717,11,1999,91000
718,1,1999,90727
719,7,1999,90000
720,9,1999,89576
721,5,1999,89145
722,6,1999,89000
723,1,1999,88807
724,6,1999,88685
725,7,1999,88667
726,12,1999,88480
727,8,1999,88127
728,7,1999,88000
729,4,1999,87821
730,10,1999,87654
731,10,1999,86888
732,10,1999,86871
733,1,1999,86714
734,4,1999,85889
735,7,1999,85000
736,9,1999,85000
737,1,1999,84976
738,4,1999,84558
739,7,1999,84549
740,1,1999,84482
741,7,1999,83908
742,2,1999,83560
743,1,1999,83000
744,5,1999,82723
745,7,1999,82421
746,11,1999,82254
747,8,1999,82115
748,4,1999,82000
749,1,1999,81965
750,3,1999,81250
751,4,1999,81192
752,8,1999,81170
753,3,1999,81083
754,8,1999,80714
755,12,1999,80470
756,4,1999,80439
757,10,1999,80430
758,1,1999,80426
759,7,1999,80265
760,4,1999,80153
761,1,1999,80121
762,4,1999,80086
763,7,1999,80000
764,9,1999,80000
765,4,1999,80000
766,2,1999,79858
767,2,1999,79762
768,10,1999,79660
769,9,1999,79150
770,8,1999,79000
771,12,1999,78955
772,10,1999,78750
773,1,1999,78521
774,5,1999,78356
775,4,1999,78076
776,8,1999,78063
777,2,1999,77821
778,1,1999,77695
779,4,1999,77500
780,6,1999,77457
781,1,1999,77029
782,1,1999,77008
783,3,1999,76791
784,8,1999,76700
785,2,1999,76569
786,10,1999,76162
787,4,1999,76155
788,8,1999,75609
789,7,1999,75569
790,2,1999,75429
791,1,1999,75000
792,4,1999,75000
793,7,1999,75000
794,3,1999,74963
795,1,1999,74889
796,1,1999,74875
797,6,1999,74747
798,9,1999,74720
799,7,1999,74457
800,9,1999,74337
801,1,1999,74308
802,5,1999,74193
803,4,1999,74179
804,2,1999,73936
805,8,1999,73894
806,5,1999,73500
807,5,1999,73376
808,5,1999,73300
809,11,1999,73172
810,11,1999,72928
811,2,1999,72880
812,6,1999,72522
813,5,1999,72000
814,12,1999,72000
815,10,1999,71366
816,4,1999,71317
817,7,1999,71000
818,9,1999,70954
819,6,1999,70908
820,11,1999,70560
821,2,1999,70552
822,7,1999,70500
823,9,1999,70453
824,10,1999,70218
825,5,1999,70116
826,4,1999,70068
827,2,1999,70000
828,1,1999,70000
829,1,1999,69103
830,11,1999,69022
831,2,1999,69000
832,1,1999,68865
833,11,1999,68723
834,6,1999,68453
835,6,1999,68238
836,6,1999,68153
837,4,1999,68000
838,4,1999,68000
839,2,1999,67762
840,1,1999,67146
841,2,1999,67110
842,10,1999,67010
843,4,1999,67003
844,1,1999,66785
845,1,1999,66550
846,8,1999,66259
847,7,1999,66082
848,4,1999,66000
849,8,1999,66000
850,6,1999,65896
851,2,1999,65785
852,4,1999,65513
853,10,1999,65463
854,1,1999,65400
855,9,1999,65259
856,5,1999,65000
857,1,1999,65000
858,12,1999,65000
859,7,1999,64966
860,1,1999,64950
861,9,1999,64914
862,7,1999,64797
863,4,1999,64772
864,6,1999,64690
865,4,1999,64630
866,2,1999,64613
867,9,1999,64383
868,1,1999,64000
869,3,1999,63881
870,11,1999,63870
871,3,1999,63328
872,4,1999,63000
873,8,1999,63000
874,4,1999,62396
875,7,1999,62377
876,2,1999,62316
877,1,1999,62292
878,4,1999,62225
879,1,1999,62222
880,3,1999,62135
881,11,1999,62024
882,9,1999,61977
883,7,1999,61930
884,12,1999,61682
885,1,1999,61568
886,1,1999,61504
887,4,1999,61384
888,11,1999,61343
889,7,1999,61254
890,10,1999,61166
891,7,1999,61149
892,8,1999,61144
893,10,1999,61127
894,9,1999,61100
895,1,1999,61100
896,12,1999,61000
897,4,1999,60724
898,10,1999,60708
899,8,1999,60532
900,2,1999,60000
901,3,1999,60000
902,4,1999,60000
903,7,1999,59295
904,4,1999,59264
905,6,1999,59000
906,6,1999,59000
907,4,1999,59000
908,8,1999,59000
909,4,1999,59000
910,1,1999,58860
911,4,1999,58829
912,3,1999,58654
913,4,1999,58300
914,9,1999,58269
915,5,1999,58136
916,3,1999,58113
917,2,1999,58058
918,11,1999,58000
919,7,1999,58000
920,1,1999,57565
921,6,1999,57413
922,4,1999,57374
923,7,1999,57179
924,8,1999,57169
925,6,1999,57124
926,6,1999,57000
927,2,1999,57000
928,6,1999,57000
929,10,1999,56259
930,7,1999,56209
931,2,1999,56074
932,6,1999,55942
933,12,1999,55844
934,8,1999,55747
935,11,1999,55478
936,9,1999,55085
937,4,1999,55061
938,4,1999,55000
939,12,1999,55000
940,6,1999,54936
941,1,1999,54875
942,2,1999,54847
943,9,1999,54554
944,8,1999,54125
945,8,1999,54000
946,12,1999,54000
947,11,1999,54000
948,12,1999,54000
949,7,1999,53285
950,4,1999,53053
951,1,1999,53000
952,1,1999,53000
953,5,1999,52968
954,2,1999,52800
955,12,1999,52548
956,9,1999,52487
957,3,1999,52383
958,8,1999,52112
959,11,1999,51712
960,11,1999,51421
961,8,1999,51235
962,4,1999,51000
963,8,1999,50925
964,3,1999,50806
965,10,1999,50469
966,8,1999,50173
967,7,1999,50000
968,4,1999,49942
969,2,1999,49585
970,7,1999,49258
972,8,1999,49000
973,6,1999,48738
974,7,1999,47750
975,6,1999,47612
976,1,1999,47500
977,3,1999,47237
978,11,1999,47171
979,9,1999,47060
980,4,1999,47014
981,10,1999,46929
982,6,1999,46000
983,4,1999,45681
984,4,1999,45549
985,12,1999,45000
986,12,1999,45000
987,4,1999,45000
988,3,1999,45000
989,6,1999,45000
990,8,1999,45000
991,6,1999,44944
992,8,1999,44597
993,1,1999,44458
994,10,1999,43818
995,9,1999,43426
996,11,1999,43000
997,1,1999,43000
998,12,1999,43000
999,5,1999,43000
1000,1,1999,42750
1001,2,1999,42102
1002,6,1999,41586
1003,5,1999,41200
1004,12,1999,40214
1005,9,1999,40000
1006,3,1999,39222
1007,3,1999,39144
1008,7,1999,39000
1009,8,1999,38019
1010,1,1999,37759
1011,8,1999,37500
1012,9,1999,37111
1013,7,1999,37000
1014,10,1999,36954
1015,9,1999,36943
1016,6,1999,36923
1017,3,1999,36658
1018,4,1999,36000
1019,4,1999,36000
1020,7,1999,35512
1021,4,1999,35283
1022,1,1999,35000
1023,12,1999,35000
1024,5,1999,34114
1025,11,1999,34000
1026,1,1999,33847
1027,12,1999,33535
1028,4,1999,33000
1029,10,1999,32150
1030,4,1999,31588
1031,9,1999,31480
1032,12,1999,31307
1033,1,1999,31000
1034,11,1999,30634
1035,1,1999,30300
1036,9,1999,28500
1037,9,1999,28500
1038,12,1999,28000
1039,1,1999,26698
1040,7,1999,26000
1041,7,1999,25505
1042,11,1999,25000
1043,3,1999,22835
1044,10,1999,22705
1045,6,1999,22178
1046,7,1999,17345
1047,2,1999,15535
1048,3,1999,15110
1049,8,1998,232940
1050,2,1998,218118
1051,3,1998,217764
1052,2,1998,207114
1053,7,1998,203254
1054,4,1998,200732
1055,12,1998,197501
1056,1,1998,194765
1057,5,1998,191620
1058,5,1998,183277
1059,3,1998,180378
1060,11,1998,178800
1061,8,1998,176177
1062,3,1998,176000
1063,4,1998,172980
1064,4,1998,170000
1065,10,1998,164000
1066,3,1998,161775
1067,1,1998,160000
1068,3,1998,159968
1069,7,1998,159908
1070,8,1998,158492
1071,12,1998,156204
1072,8,1998,156169
1073,3,1998,155210
1074,12,1998,155000
1075,5,1998,154900
1076,11,1998,151300
1077,10,1998,151000
1078,6,1998,150000
1079,12,1998,146304
1080,6,1998,146197
1081,4,1998,145996
1082,1,1998,143560
1083,10,1998,139145
1084,2,1998,138500
1085,7,1998,137741
1086,1,1998,137178
1087,5,1998,134889
1088,10,1998,134660
1089,8,1998,134539
1091,2,1998,131500
1092,4,1998,131307
1093,7,1998,130025
1094,3,1998,130000
1095,4,1998,128960
1096,1,1998,128351
1097,8,1998,128006
1098,10,1998,127159
1099,9,1998,126478
1100,4,1998,126000
1101,5,1998,125778
1102,6,1998,125400
1103,7,1998,124910
1104,11,1998,124743
1105,5,1998,124591
1106,7,1998,124057
1107,9,1998,123403
1108,6,1998,123104
1109,7,1998,123077
1110,1,1998,122820
1111,4,1998,122290
1112,7,1998,121900
1113,4,1998,121545
1114,10,1998,120474
1115,5,1998,120263
1116,7,1998,120196
1117,10,1998,120000
1118,3,1998,120000
1119,8,1998,115877
1120,5,1998,115345
1121,10,1998,115157
1122,3,1998,115000
1123,4,1998,114258
1124,8,1998,112963
1125,7,1998,112307
1126,9,1998,112000
1127,8,1998,111602
1128,1,1998,111392
1129,5,1998,110901
1130,1,1998,110887
1131,9,1998,110634
1132,1,1998,110000
1133,6,1998,109540
1134,3,1998,109263
1135,10,1998,107516
1136,8,1998,107108
1137,6,1998,107000
1138,7,1998,106250
1139,10,1998,106150
1140,9,1998,106108
1141,9,1998,105856
1142,4,1998,105152
1143,1,1998,105135
1144,5,1998,104344
1145,7,1998,104150
1146,7,1998,104000
1147,8,1998,103121
1148,1,1998,102300
1149,6,1998,102005
1150,4,1998,102000
1151,6,1998,101855
1152,7,1998,101773
1153,6,1998,101159
1154,7,1998,101000
1155,7,1998,100732
1156,2,1998,100719
1157,3,1998,100487
1158,1,1998,100458
1159,6,1998,100192
1160,1,1998,100123
1161,8,1998,99971
1162,2,1998,99397
1163,12,1998,99374
1164,9,1998,99245
1165,2,1998,98742
1166,10,1998,98154
1167,4,1998,98000
1168,1,1998,97548
1169,3,1998,97534
1170,8,1998,97494
1171,8,1998,97085
1172,12,1998,97000
1173,7,1998,96302
1174,3,1998,96000
1175,7,1998,96000
1176,3,1998,95909
1177,2,1998,95700
1178,3,1998,95651
1179,2,1998,95000
1180,1,1998,94447
1181,1,1998,94079
1182,1,1998,93841
1183,2,1998,93090
1184,9,1998,93066
1185,2,1998,93039
1186,4,1998,93000
1187,1,1998,92830
1189,1,1998,92255
1190,1,1998,92096
1191,9,1998,91921
1192,11,1998,91900
1193,3,1998,91399
1194,6,1998,91082
1195,10,1998,90370
1196,3,1998,90345
1197,4,1998,90305
1198,3,1998,90011
1199,4,1998,90000
1200,11,1998,89983
1201,3,1998,89953
1202,7,1998,89800
1203,2,1998,89739
1204,5,1998,89520
1205,6,1998,89507
1206,12,1998,89096
1207,7,1998,88700
1208,9,1998,88500
1209,8,1998,88186
1210,6,1998,88000
1211,3,1998,87743
1212,6,1998,87613
1213,8,1998,87358
1214,9,1998,87083
1215,11,1998,87000
1216,3,1998,87000
1217,8,1998,87000
1218,1,1998,87000
1219,9,1998,86860
1220,1,1998,86109
1221,2,1998,86000
1222,1,1998,86000
1223,11,1998,85864
1224,1,1998,85565
1225,11,1998,85470
1226,8,1998,85200
1227,11,1998,85000
1228,8,1998,84988
1229,2,1998,84966
1230,5,1998,84472
1231,8,1998,84402
1232,7,1998,84123
1233,1,1998,84000
1234,3,1998,84000
1235,4,1998,84000
1236,6,1998,83850
1237,1,1998,83540
1238,5,1998,83405
1239,10,1998,83291
1240,12,1998,83133
1241,10,1998,83047
1242,10,1998,82700
1243,3,1998,82675
1244,3,1998,82595
1245,6,1998,82256
1246,4,1998,82103
1247,1,1998,82021
1248,10,1998,82000
1249,2,1998,81988
1250,5,1998,81930
1251,11,1998,81663
1252,4,1998,80486
1253,3,1998,80000
1254,12,1998,79000
1255,7,1998,78894
1256,3,1998,78689
1257,4,1998,78435
1258,10,1998,78260
1259,9,1998,78120
1260,4,1998,77000
1261,3,1998,77000
1262,6,1998,76382
1263,5,1998,76268
1264,8,1998,76151
1265,1,1998,76000
1266,10,1998,76000
1267,9,1998,75840
1268,4,1998,75799
1269,9,1998,75525
1270,3,1998,75323
1271,2,1998,75322
1272,3,1998,75226
1273,10,1998,75085
1274,8,1998,75000
1275,12,1998,75000
1276,12,1998,75000
1277,3,1998,74926
1278,1,1998,74785
1279,12,1998,74573
1280,6,1998,74567
1281,1,1998,74196
1282,1,1998,74151
1283,6,1998,74096
1284,2,1998,74093
1285,10,1998,74000
1286,6,1998,74000
1287,3,1998,73638
1288,6,1998,73460
1289,1,1998,73200
1290,5,1998,73116
1291,11,1998,73014
1292,4,1998,72703
1293,2,1998,72328
1294,3,1998,72222
1295,10,1998,72128
1296,3,1998,72090
1297,3,1998,72000
1298,3,1998,72000
1299,4,1998,71900
1300,4,1998,71825
1301,1,1998,71740
1302,1,1998,71500
1303,2,1998,71359
1304,2,1998,71263
1305,3,1998,71186
1306,9,1998,71054
1307,5,1998,71000
1308,1,1998,70939
1309,4,1998,70932
1310,1,1998,70597
1311,8,1998,70482
1312,4,1998,70124
1313,5,1998,70039
1314,1,1998,69904
1315,6,1998,69388
1316,6,1998,69320
1317,3,1998,69000
1318,8,1998,68988
1319,2,1998,68945
1320,7,1998,68285
1321,5,1998,68000
1322,11,1998,68000
1323,6,1998,67451
1324,5,1998,67266
1325,3,1998,67255
1326,11,1998,67100
1327,12,1998,67092
1328,1,1998,66880
1329,2,1998,66855
1330,1,1998,66843
1331,7,1998,66718
1332,1,1998,66168
1333,1,1998,65950
1334,3,1998,65500
1335,1,1998,65307
1336,2,1998,65254
1337,10,1998,65021
1338,6,1998,65006
1339,4,1998,64280
1340,6,1998,64000
1341,10,1998,64000
1342,1,1998,64000
1343,2,1998,63918
1344,6,1998,63634
1345,1,1998,63500
1346,1,1998,63266
1347,4,1998,62595
1348,1,1998,62581
1349,4,1998,62285
1350,4,1998,61906
1351,7,1998,61700
1352,4,1998,61648
1353,6,1998,61626
1354,11,1998,61510
1355,2,1998,61165
1356,11,1998,61000
1357,5,1998,60833
1358,11,1998,60600
1359,9,1998,60483
1360,1,1998,60476
1361,2,1998,60142
1362,12,1998,60050
1363,4,1998,60000
