Unique_Id,Model_Name,Selling_Price,Age_Months,Country_Assembly
27,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,17495,27,IN
28,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,15750,29,DE
29,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,16950,28,IT
30,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,17950,30,FR
31,TOYOTA Corolla 1.4 VVTI Linea Terra 2/3-Doors,12950,29,KR
32,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15750,22,DE
33,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,27,JP
34,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,14950,26,DE
35,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15500,22,IT
36,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15750,26,JP
37,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,25,KR
38,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA 2/3-Doors,14950,23,IT
39,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA 2/3-Doors,15750,32,UK
40,TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,14750,27,FR
41,TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,13950,22,KR
42,TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,16750,27,UK
43,TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,13950,22,IN
44,TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,16950,27,KR
45,TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,16950,22,IN
46,TOYOTA Corolla 2.0 D4D 90 5DR SOL 4/5-Doors,19000,23,JP
47,TOYOTA Corolla 2.0 D4D 90 5DR TERRA 4/5-Doors,17950,27,UK
48,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,15800,22,FR
49,TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,17950,22,IT
50,TOYOTA Corolla 1.8 16V VVTLI 5DR T SPORT 4/5-Doors,21950,31,ES
51,TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,17950,22,DE
52,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,15750,30,CN
53,TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,20500,26,FR
54,TOYOTA Corolla 1.8 VVTL-i T-Sport 4/5-Doors,21950,27,UK
55,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA AUT4 4/5-Doors,15500,25,ES
56,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13250,32,FR
57,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,15250,28,UK
58,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,15250,26,US
59,TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,18950,23,US
60,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,15999,30,IN
61,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,14950,22,FR
62,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,16500,27,US
63,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18750,31,UK
64,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,17950,30,IN
65,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,17950,27,UK
66,TOYOTA Corolla 1.6 VVT-I 5DR LINEA SOL 4/5-Doors,16950,26,IN
67,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18950,28,FR
68,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,14950,22,ES
69,TOYOTA Corolla 2.0 D4D 110 5DR SOL 4/5-Doors,22250,22,IT
70,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,15950,25,KR
71,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,15950,28,ES
72,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,12995,32,JP
73,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18950,28,UK
74,TOYOTA Corolla 1.4 16V VVT I 5DR 4/5-Doors,15750,23,JP
75,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19950,28,ES
76,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16950,23,IN
77,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18750,31,KR
78,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,18450,27,KR
79,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,16895,29,CN
80,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,14900,30,KR
81,TOYOTA Corolla 1.6 5drs 1 4/5-Doors,18950,25,IT
82,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,17250,29,KR
83,TOYOTA Corolla 1.4 16V VVT I 5DR 4/5-Doors,15450,25,ES
84,TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,17950,31,CN
85,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16650,25,ES
86,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,17450,28,ES
87,TOYOTA Corolla 1.4 VVTI  (Nw type) 4/5-Doors,14900,30,DE
88,TOYOTA Corolla 2.0 D4D 90 3DR TERRA COMF BNS 2/3-Doors,17950,20,CN
89,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,19,ES
90,TOYOTA Corolla 2.0 D4D 110 3DR SOL 2/3-Doors,21950,19,DE
91,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,16450,20,DE
92,TOYOTA Corolla 2.0 D4D 90 3DR SOL BNS 2/3-Doors,22250,20,CN
93,TOYOTA Corolla 2.0 D 4D Linea Sol 3 Doors 2/3-Doors,19950,16,JP
94,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,20,IN
95,TOYOTA Corolla 1.6 16v VVT-i Linea Sol 2/3-Doors,18900,20,IT
96,TOYOTA Corolla 2.0 D4D Linea Sol 3 Doors 2/3-Doors,19950,17,IN
97,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,19,KR
98,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,19,IT
99,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,18750,11,KR
100,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,17450,18,ES
101,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,18990,20,UK
102,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,16250,19,CN
103,TOYOTA Corolla 1.4 VVT-i Sol 2/3-Doors,18500,13,IT
104,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMFORT 2/3-Doors,18500,11,IT
105,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMF AUT 2/3-Doors,19450,11,ES
106,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,16950,19,JP
107,TOYOTA Corolla 1.6 VVT-i Linea Terra Comfort 2/3-Doors,18800,14,DE
108,TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,17450,17,ES
109,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMFORT 2/3-Doors,17950,20,US
111,TOYOTA Corolla VERSO 2.0 D4D SOL (7) BNS MPV,32500,4,DE
112,TOYOTA Corolla VERSO 2.0 D4D SOL (7) MPV,31000,4,CN
113,TOYOTA Corolla VERSO 2.0 D4D SOL (7) MPV,31275,4,DE
114,TOYOTA Corolla VERSO 2.0 D4D LINEA SOL MPV,24950,8,JP
115,TOYOTA Corolla VERSO 2.0 D4D LINEA SOL MPV,24950,8,DE
116,TOYOTA Corolla 2.0 D4D 116 5DR LUNA 4/5-Doors,22950,7,CN
117,TOYOTA Corolla 2.0 D4D 90 WAGON SOL Stationwagen,24990,8,JP
118,TOYOTA Corolla 2.0 D4D 90 5DR SOL 4/5-Doors,21950,8,IN
119,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMFORT 2/3-Doors,17900,7,IT
120,TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,19250,20,IT
121,TOYOTA Corolla 2.0 D4D 110 5DR EXEC BNS 4/5-Doors,22250,17,KR
122,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,18950,13,IN
123,TOYOTA Corolla 2.0 D4D Linea Terra Comfort 4/5-Doors,19950,19,IN
124,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,16350,14,DE
125,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18950,20,IT
126,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,16950,17,CN
127,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC 4/5-Doors,21750,16,FR
128,TOYOTA Corolla 1.6 VVT-i Linea Sol 4/5-Doors,15950,20,FR
129,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16500,20,JP
130,TOYOTA Corolla 1.4 16V VVT I 5DR SOL 4/5-Doors,17950,17,IT
131,TOYOTA Corolla 1.6 vvt-i nw model comfort airco 5drs 4/5-Doors,15850,13,IT
132,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16250,20,FR
133,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,15950,20,IT
134,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16250,19,DE
135,TOYOTA Corolla 1 6-16v VVT-i Linea Terra Comfort Airco 5drs 4/5-Doors,15950,13,US
136,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16500,20,UK
137,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16500,19,IN
138,TOYOTA Corolla 1.4 16V VVT I 5DR SOL 4/5-Doors,18450,19,KR
139,TOYOTA Corolla 1.6 terra comfort 5drs airco 4/5-Doors,16250,13,JP
140,TOYOTA Corolla Luna 5drs D4D116 PK 4/5-Doors,23000,11,US
141,TOYOTA Corolla 1.6i 16V VVT I SOL + Navigatie 4/5-Doors,19900,20,FR
142,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16450,20,IN
143,TOYOTA Corolla 1.8 VVTL-i T-Sport 3-Drs 4/5-Doors,23950,19,IT
144,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19950,13,KR
145,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA COMF 4/5-Doors,18500,16,IT
146,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18950,15,CN
147,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,16450,16,CN
148,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMF AUT 4/5-Doors,20500,20,KR
149,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC BNS 4/5-Doors,24500,13,KR
150,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19450,19,FR
151,TOYOTA Corolla 1.6 16V VVT I SEDAN SOL AUT4 4/5-Doors,20950,14,KR
152,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,17200,20,DE
153,TOYOTA Corolla 1.6 16V VVT I 5DR SOL BNS 4/5-Doors,19950,19,IT
154,TOYOTA Corolla 1.4 16V VVT I 5DR LUNA BNS 4/5-Doors,18450,10,US
155,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,19500,12,ES
156,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC 4/5-Doors,21750,13,KR
157,TOYOTA Corolla 1.4 16V VVT I SEDAN TERRA COMF 4/5-Doors,16868,15,JP
158,TOYOTA Corolla 1.6 16V VVT I SEDAN SOL 4/5-Doors,19500,16,CN
159,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,18900,11,DE
160,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19750,17,IN
161,TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,19750,16,ES
162,TOYOTA Corolla 1.6 16V VVT I SEDAN SOL 4/5-Doors,18950,16,US
163,TOYOTA Corolla 1.6 16v VVTi Linea Sol 4/5-Doors,20750,17,ES
164,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,19600,9,KR
165,TOYOTA Corolla 1.6 16v VVTi Terra Comfort 4/5-Doors,19500,14,FR
166,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,17650,11,CN
167,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19950,14,CN
168,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC 4/5-Doors,19950,14,IN
169,TOYOTA Corolla 1.6 16V VVT I SEDAN SOL BNS AUT4 4/5-Doors,20950,14,FR
170,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,20500,12,IT
171,TOYOTA Corolla 1.4-16v VVT-i Linea Terra Comfort NIEUW AIRCO 4/5-Doors,17795,9,UK
172,TOYOTA Corolla 1.6-16v VVT-i Linea Terra Comfort AIRCO NIEUW 5DRS 4/5-Doors,18245,9,DE
173,TOYOTA Corolla 1.6-16v VVT-i Executive B.edition 4/5-Doors,23750,8,CN
174,TOYOTA Corolla 1.4 16V VVT I 5DR LUNA 4/5-Doors,19500,8,JP
175,TOYOTA Corolla 1.4 16V VVT I 5DR LUNA 4/5-Doors,18950,8,CN
176,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,21950,8,ES
177,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19950,8,CN
178,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,18950,8,CN
179,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,19950,7,UK
180,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,21950,8,UK
181,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC 4/5-Doors,22500,6,US
182,TOYOTA Corolla 1.6 VVT-I 5DR LINEA TERRA 4/5-Doors,18500,7,IT
183,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,18700,7,JP
184,TOYOTA Corolla 1.4 16V 5DR TERRA 4/5-Doors,21125,2,CN
185,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,21500,2,CN
186,TOYOTA Corolla 1.4-16v VVT-i Linea Terra Comfort NIEUW AIRCO 4/5-Doors,17795,1,DE
187,TOYOTA Corolla 1.6-16v VVT-i Linea Terra Comfort NIEUW AIRCO 5drs 4/5-Doors,18245,1,UK
188,TOYOTA Corolla 1.9 D HATCHB SOL 2/3-Doors,6950,43,JP
189,TOYOTA Corolla 2.0 D4D SEDAN SOL 4/5-Doors,9500,38,IN
190,TOYOTA Corolla 2.0 D4D LIFTB SOL 4/5-Doors,11950,40,US
191,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,7750,43,IT
192,TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,11950,40,FR
193,TOYOTA Corolla 1.8D Stationwagen,4350,44,IT
194,TOYOTA Corolla 1.8D 4/5-Doors,4750,44,ES
195,TOYOTA Corolla 1.9 D LIFTB TERRA 4/5-Doors,11750,40,CN
196,TOYOTA Corolla 1.9 D WAGON TERRA Stationwagen,13250,41,US
197,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,11950,37,ES
198,TOYOTA Corolla 1.9 D Sedan 4/5-Doors,11900,44,JP
199,TOYOTA Corolla 2.0 D4D LIFTB SOL 4/5-Doors,14750,39,FR
200,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9950,42,UK
201,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11950,39,US
202,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11495,44,US
203,TOYOTA Corolla 1.4 VVTI Linea Terra 2/3-Doors,11250,40,CN
204,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,10500,42,KR
205,TOYOTA Corolla 1.9 D HATCHB SOL 2/3-Doors,10450,35,US
206,TOYOTA Corolla 19D LB Linea Terra 4/5-Doors,12950,43,DE
207,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,11500,44,FR
208,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,12500,40,FR
209,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,10950,43,DE
210,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11450,41,IN
211,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11950,37,DE
212,TOYOTA Corolla 1.9 D WAGON TERRA Stationwagen,13250,41,DE
213,TOYOTA Corolla 2.0 D4D LIFTB SOL 4/5-Doors,14750,40,FR
214,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA AUT4 4/5-Doors,11790,34,IT
215,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11450,40,FR
216,TOYOTA Corolla 2.0 D4D HATCHB SOL 2/3-Doors,13500,33,KR
217,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,10950,33,CN
218,TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,13500,33,ES
219,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10950,41,IT
220,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10950,44,UK
221,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12950,38,ES
222,TOYOTA Corolla 1.6 Terra LB 4/5-Doors,11950,43,CN
223,TOYOTA Corolla 1.6 HB LINEA SOL 4/5-Doors,12450,44,KR
224,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,11950,40,KR
225,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,14950,44,UK
226,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,12450,35,IT
227,TOYOTA Corolla 1.6 16V VVT I WAGON BLUE Stationwagen,12950,38,IN
228,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,11950,35,DE
229,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,11690,34,IT
230,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12450,42,IN
231,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,12750,36,KR
232,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11925,44,FR
233,TOYOTA Corolla LIFTBACK 1.6-16v Linea Luna 4/5-Doors,12950,33,CN
234,TOYOTA Corolla 1.4 16V VVT I HATCHB SOL 2/3-Doors,11950,42,UK
235,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,12900,41,CN
236,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11900,41,JP
237,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11650,38,JP
238,TOYOTA Corolla 1.6 VVTI Linea Terra liftback 4/5-Doors,10950,44,IT
239,TOYOTA Corolla 1.9 D HB SOL 2/3-Doors,13950,35,KR
240,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL AUT4 4/5-Doors,13950,44,KR
241,TOYOTA Corolla 1.6 VVT-i Linea Sol 4/5-Doors,11950,40,DE
242,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,10950,38,DE
243,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,12450,38,DE
244,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,11950,43,FR
245,TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,13500,33,ES
246,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,11690,33,US
247,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13500,39,ES
248,TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,11950,42,CN
249,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,12900,39,ES
250,TOYOTA Corolla 1.6 16V WAGON LINEA TERRA Stationwagen,13500,43,FR
251,TOYOTA Corolla 1.6 GL LB 4/5-Doors,11750,42,CN
252,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11750,33,ES
253,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,10850,43,FR
254,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11750,43,US
255,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA AUT4 4/5-Doors,14950,42,ES
256,TOYOTA Corolla 1.6 Terra 5-Doors Liftback 4/5-Doors,9940,39,FR
257,TOYOTA Corolla 1.6-16v Linea Terra LB 4/5-Doors,12900,42,DE
258,TOYOTA Corolla 1.6I Luna liftback 4/5-Doors,13500,38,KR
259,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11750,44,DE
260,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11950,44,KR
261,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13450,33,UK
262,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11950,41,UK
263,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,12495,39,UK
264,TOYOTA Corolla 1.6 Linea Terra Sedan 4/5-Doors,13500,41,US
265,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,12750,40,DE
266,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,12000,39,KR
267,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,11950,38,FR
268,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12495,44,CN
269,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12450,34,FR
270,TOYOTA Corolla 2.0 D4D LIFTB SOL 4/5-Doors,14750,40,CN
271,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,10950,39,JP
272,TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,13500,33,FR
273,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,12950,38,ES
274,TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,13500,35,ES
275,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,13450,34,IT
276,TOYOTA Corolla 1.6 Terra LB 4/5-Doors,13500,43,DE
277,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,11480,41,CN
278,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,13450,39,CN
279,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,11495,39,DE
280,TOYOTA Corolla 1.4 VVTI L.Terra HB 4/5-Doors,12750,43,US
281,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,14990,38,IT
282,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,12950,35,US
283,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12950,40,US
284,TOYOTA Corolla 1.4 LB LINEA TERRA 4/5-Doors,12850,39,US
285,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA AUT4 4/5-Doors,13950,40,DE
286,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11950,41,US
287,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12950,39,ES
288,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11700,40,UK
289,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9950,37,JP
