Unique_Id,Manufacturer_Guarantee,BOVAG_Guarantee,Guarantee_Duration_Months,ABS_Brake_System,Airbag_1_Presence,Airbag_2_Presence,Air_Conditioning,Automatic_Air_Conditioning,Board_Computer,CD_Player_Presence,Central_Locking,Powered_Windows,Power_Steering,Radio_Presence,Mist_Lamps,Sport_Model_Presence,Backseat_Divider_Presence,Metallic_Rim_Presence,Radio_Cassette,Parking_Assistant,Tow_Bar_Presence
37,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
38,1,1,3,1,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0
39,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
40,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0
41,0,1,3,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0
42,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
43,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0
44,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0
45,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0
46,0,1,3,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0
47,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
48,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1
49,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0
50,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0
51,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
52,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0
53,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
54,0,1,13,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0
55,0,1,3,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0
56,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1
57,0,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0
58,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0
59,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0
60,0,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0
61,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
62,0,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0
63,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1
64,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0
65,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1
66,0,1,12,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0
67,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0
68,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
69,1,1,3,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0
70,1,1,3,1,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0
71,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
72,1,1,3,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0
73,1,1,3,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0
74,0,1,3,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0
75,1,0,3,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0
76,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
77,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0
78,0,1,3,1,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0
79,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
80,1,1,3,1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0
81,0,0,3,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
82,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
83,0,1,3,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0
84,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0
85,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
86,0,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0
87,0,0,12,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0
88,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
89,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
90,1,1,3,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0
91,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
92,0,1,3,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0
93,0,0,3,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0
94,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
95,0,1,20,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0
96,0,0,3,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
97,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
98,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
99,0,0,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0
100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0
101,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0
102,0,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0
103,0,1,12,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0
104,1,1,3,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0
105,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0
106,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0
107,0,0,12,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0
108,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
109,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
111,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0
112,0,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
113,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0
114,0,0,3,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
115,0,0,3,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
116,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0
117,1,1,3,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0
118,0,1,3,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0
119,0,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0
120,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
121,1,1,3,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0
122,0,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0
123,0,0,3,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1
124,1,1,3,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0
125,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1
126,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0
127,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
128,0,1,3,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1
129,0,0,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
130,0,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0
131,0,0,3,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
132,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
133,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
134,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
135,0,0,24,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
136,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0
137,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0
138,0,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0
139,0,0,24,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
140,0,0,3,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0
141,0,0,3,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
142,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
143,0,1,12,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0
144,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
145,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
146,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0
147,1,1,3,1,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0
148,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0
149,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
150,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0
151,0,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0
152,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
153,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0
154,1,1,3,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0
155,1,1,3,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0
156,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0
157,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
158,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0
159,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0
160,0,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
161,0,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0
162,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0
163,0,1,12,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0
164,0,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0
165,0,1,28,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0
166,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0
167,0,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0
168,0,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
169,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0
170,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0
171,0,0,36,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
172,0,0,36,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
173,0,1,24,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0
174,1,1,3,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0
175,0,1,3,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0
176,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1
177,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
178,0,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0
179,0,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0
180,0,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0
181,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0
182,0,1,24,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0
183,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
184,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0
185,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0
186,0,0,36,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
187,0,0,36,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
188,0,1,3,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0
189,0,1,3,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0
190,0,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0
191,0,1,3,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0
192,0,1,3,1,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0
193,0,0,3,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
194,0,0,3,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
195,0,1,3,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
196,0,1,3,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0
197,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0
198,0,0,6,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
199,0,1,3,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1
200,0,1,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
201,1,1,3,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1
202,1,1,3,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0
203,0,1,12,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1
204,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0
205,0,1,3,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0
206,0,0,3,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0
207,1,1,3,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0
208,0,1,3,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0
209,1,1,3,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0
210,0,1,3,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0
211,1,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0
212,0,1,3,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0
213,0,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0
214,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1
215,0,1,3,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1
216,1,1,3,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0
217,0,1,3,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0
218,1,1,3,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0
219,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
220,1,1,3,1,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0
221,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1
222,0,1,6,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1
223,1,1,3,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0
224,1,1,3,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1
225,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1
226,0,1,3,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0
227,1,1,3,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0
228,1,1,3,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0
229,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1
230,1,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0
231,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0
232,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
233,1,0,12,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0
234,1,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0
235,1,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0
236,0,1,3,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
237,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
238,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
239,1,0,12,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0
240,0,1,3,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0
241,0,1,12,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0
242,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
243,0,1,3,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0
244,0,1,3,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0
245,1,1,3,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0
246,1,1,3,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0
247,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1
248,1,1,3,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0
249,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,1
250,1,1,3,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0
251,1,1,3,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
252,1,1,3,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0
253,1,1,3,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
254,1,1,3,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1
255,1,1,3,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1
256,0,0,3,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
257,1,1,12,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
258,0,1,6,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0
259,1,1,3,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0
260,0,1,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
261,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0
262,0,1,3,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0
263,1,1,3,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0
264,0,1,12,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1
265,0,1,3,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0
266,0,0,3,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0
267,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1
268,1,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0
269,1,1,3,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
270,0,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1
271,0,1,3,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1
272,1,1,3,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0
273,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
274,1,1,3,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
275,1,1,3,1,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0
276,0,0,6,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
277,1,1,3,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1
278,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1
279,1,1,3,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
280,0,0,12,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
281,1,1,3,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,0,0,0
282,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0
283,1,1,3,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,1
284,0,1,6,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
285,0,1,3,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1
286,0,1,3,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1
287,1,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0
288,0,1,3,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
289,0,1,3,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
290,1,1,3,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1
291,0,1,3,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1
292,1,1,3,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0
293,1,1,3,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0
294,0,1,3,1,1,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0
295,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0
296,1,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0
297,0,1,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
298,1,1,3,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
299,1,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1
300,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0
301,0,1,3,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1
302,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1
303,1,1,3,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0
304,0,1,3,1,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0
305,1,1,3,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0
306,1,1,3,1,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1
307,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
308,0,1,3,1,1,1,0,0,1,0,1,0,1,1,0,0,1,1,1,0,1
309,0,1,12,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
